team_id,season,Away,Home,diff
BAL,2012,0.375,0.375,0
BAL,2013,0.375,0.5,0.125
BAL,2014,0.375,0.5,0.125
BAL,2015,0.5,0.125,-0.375
BAL,2016,0.25,0.625,0.375
BAL,2017,0.714285714285714,0.375,-0.339285714285714
BAL,2018,0.625,0.375,-0.25
BAL,2019,0.75,0.5,-0.25
BUF,2000,0.5,0.375,-0.125
BUF,2001,0.5,0.25,-0.25
BUF,2002,0.5,0.5,0
BUF,2003,0.375,0.375,0
BUF,2004,0.75,0.625,-0.125
BUF,2005,0.428571428571429,0.5,0.0714285714285715
BUF,2006,0.625,0.625,0
BUF,2007,0.5,0.75,0.25
BUF,2008,0.625,0.285714285714286,-0.339285714285714
BUF,2009,0.625,0.428571428571429,-0.196428571428571
BUF,2010,0.625,0.428571428571429,-0.196428571428571
BUF,2011,0.25,0.428571428571429,0.178571428571429
BUF,2012,0.375,0.571428571428571,0.196428571428571
BUF,2013,0.25,0.857142857142857,0.607142857142857
BUF,2014,0.625,0.5,-0.125
BUF,2015,0.285714285714286,0.625,0.339285714285714
BUF,2016,0.375,0.375,0
BUF,2017,0.5,0.5,0
BUF,2018,0.5,0.375,-0.125
BUF,2019,0.75,0.375,-0.375
CAR,2000,0.5,0.5,0
CAR,2001,0.375,0.5,0.125
CAR,2002,0.625,0.625,0
CAR,2003,0.5,0.25,-0.25
CAR,2004,0.875,0.375,-0.5
CAR,2005,0.625,0.5,-0.125
CAR,2006,0.375,0.375,0
CAR,2007,0.625,0.375,-0.25
CAR,2008,0.5,0.625,0.125
CAR,2009,0.625,0.5,-0.125
CAR,2010,0.25,0.25,0
CAR,2011,0.5,0.625,0.125
CAR,2012,0.75,0.375,-0.375
CAR,2013,0.375,0.75,0.375
CAR,2014,0.5,0.5,0
CAR,2015,0.625,0.75,0.125
CAR,2016,0.375,0.375,0
CAR,2017,0.625,0.5,-0.125
CAR,2018,0.25,0.625,0.375
CAR,2019,0.428571428571429,0.25,-0.178571428571429
CHI,2000,0.5,0.375,-0.125
CHI,2001,0.75,0.625,-0.125
CHI,2002,0.25,0.375,0.125
CHI,2003,0.25,0.75,0.5
CHI,2004,0.5,0.25,-0.25
CHI,2005,0.5,0.75,0.25
CHI,2006,0.5,0.625,0.125
CHI,2007,0.5,0.375,-0.125
CHI,2008,0.375,0.375,0
CHI,2009,0.25,0.5,0.25
CHI,2010,0.714285714285714,0.5,-0.214285714285714
CHI,2011,0.428571428571429,0.5,0.0714285714285715
CHI,2012,0.5,0.375,-0.125
CHI,2013,0.375,0.125,-0.25
CHI,2014,0.5,0.375,-0.125
CHI,2015,0.75,0.125,-0.625
CHI,2016,0.25,0.625,0.375
CHI,2017,0.5,0.5,0
CHI,2018,0.625,0.875,0.25
CHI,2019,0.142857142857143,0.375,0.232142857142857
CIN,2000,0.375,0.5,0.125
CIN,2001,0.375,0.625,0.25
CIN,2002,0.375,0.125,-0.25
CIN,2003,0.625,0.5,-0.125
CIN,2004,0.5,0.375,-0.125
CIN,2005,0.75,0.25,-0.5
CIN,2006,0.625,0.375,-0.25
CIN,2007,0.25,0.5,0.25
CIN,2008,0.375,0.5,0.125
CIN,2009,0.5,0.375,-0.125
CIN,2010,0.375,0.5,0.125
CIN,2011,0.625,0.375,-0.25
CIN,2012,0.75,0.375,-0.375
CIN,2013,0.25,1,0.75
CIN,2014,0.5,0.5,0
CIN,2015,1,0.5,-0.5
CIN,2016,0.25,0.571428571428571,0.321428571428571
CIN,2017,0.625,0.5,-0.125
CIN,2018,0.75,0.375,-0.375
CIN,2019,0.571428571428571,0.375,-0.196428571428571
CLE,2000,0.25,0.375,0.125
CLE,2001,0.375,0.625,0.25
CLE,2002,0.875,0.5,-0.375
CLE,2003,0.5,0.25,-0.25
CLE,2004,0.25,0.5,0.25
CLE,2005,0.5,0.5,0
CLE,2006,0.5,0.375,-0.125
CLE,2007,0.625,0.875,0.25
CLE,2008,0.5,0.25,-0.25
CLE,2009,0.625,0.625,0
CLE,2010,0.375,0.25,-0.125
CLE,2011,0.625,0.375,-0.25
CLE,2012,0.375,0.625,0.25
CLE,2013,0.375,0.375,0
CLE,2014,0.625,0.5,-0.125
CLE,2015,0.375,0.375,0
CLE,2016,0.25,0.125,-0.125
CLE,2017,0.25,0.285714285714286,0.0357142857142857
CLE,2018,0.625,0.625,0
CLE,2019,0.25,0.375,0.125
DAL,2000,0.375,0.5,0.125
DAL,2001,0.375,0.625,0.25
DAL,2002,0.5,0.5,0
DAL,2003,0.5,0.625,0.125
DAL,2004,0.375,0.5,0.125
DAL,2005,0.375,0.375,0
DAL,2006,0.5,0.5,0
DAL,2007,0.5,0.625,0.125
DAL,2008,0.375,0.5,0.125
DAL,2009,0.5,0.625,0.125
DAL,2010,0.5,0.375,-0.125
DAL,2011,0.375,0.25,-0.125
DAL,2012,0.625,0.125,-0.5
DAL,2013,0.5,0.625,0.125
DAL,2014,0.857142857142857,0.375,-0.482142857142857
DAL,2015,0.375,0.25,-0.125
DAL,2016,0.625,0.625,0
DAL,2017,0.625,0.375,-0.25
DAL,2018,0.5,0.625,0.125
DAL,2019,0.5,0.625,0.125
DEN,2000,0.75,0.375,-0.375
DEN,2001,0.125,0.75,0.625
DEN,2002,0.375,0.5,0.125
DEN,2003,0.625,0.375,-0.25
DEN,2004,0.375,0.5,0.125
DEN,2005,0.75,0.625,-0.125
DEN,2006,0.5,0.125,-0.375
DEN,2007,0.125,0.5,0.375
DEN,2008,0.5,0,-0.5
DEN,2009,0.625,0.5,-0.125
DEN,2010,0.285714285714286,0.375,0.0892857142857143
DEN,2011,0.75,0.125,-0.625
DEN,2012,0.625,0.75,0.125
DEN,2013,0.625,0.625,0
DEN,2014,0.5,0.5,0
DEN,2015,0.625,0.375,-0.25
DEN,2016,0.5,0.625,0.125
DEN,2017,0.125,0.375,0.25
DEN,2018,0.5,0.25,-0.25
DEN,2019,0.5,0.625,0.125
DET,2000,0.75,0.375,-0.375
DET,2001,0.5,0.625,0.125
DET,2002,0.25,0.625,0.375
DET,2003,0.5,0.625,0.125
DET,2004,0.625,0.375,-0.25
DET,2005,0.571428571428571,0.375,-0.196428571428571
DET,2006,0.25,0.5,0.25
DET,2007,0.25,0.5,0.25
DET,2008,0.75,0.125,-0.625
DET,2009,0.125,0.375,0.25
